date,close
2019-09-02,2.2447
2019-09-03,2.2496
2019-09-04,2.2768
2019-09-05,2.2873
2019-09-06,2.2978
2019-09-09,2.3074
2019-09-10,2.2979
2019-09-11,2.2947
2019-09-12,2.3093
2019-09-16,2.3127
2019-09-17,2.2852
2019-09-18,2.2885
2019-09-19,2.2924
2019-09-20,2.2928
2019-09-23,2.2747
2019-09-24,2.276
2019-09-25,2.2551
2019-09-26,2.2553
2019-09-27,2.2468
2019-09-30,2.23
2019-10-08,2.2409
2019-10-09,2.2599
2019-10-10,2.269
2019-10-11,2.2854
2019-10-14,2.3053
2019-10-15,2.2929
2019-10-16,2.2884
2019-10-17,2.2791
2019-10-18,2.2576
2019-10-21,2.265
2019-10-22,2.2684
2019-10-23,2.2635
2019-10-24,2.266
2019-10-25,2.269
2019-10-28,2.2762
2019-10-29,2.2652
2019-10-30,2.2449
2019-10-31,2.2369
2019-11-01,2.2562
2019-11-04,2.2634
2019-11-05,2.2713
2019-11-06,2.2595
2019-11-07,2.2617
2019-11-08,2.253
2019-11-11,2.2202
2019-11-12,2.2264
2019-11-13,2.2166
2019-11-14,2.2156
2019-11-15,2.2032
2019-11-18,2.2163
2019-11-19,2.2328
2019-11-20,2.2205
2019-11-21,2.2219
2019-11-22,2.2198
2019-11-25,2.2443
2019-11-26,2.2398
2019-11-27,2.2351
2019-11-28,2.2281
2019-11-29,2.2255
2019-12-02,2.2303
2019-12-03,2.2353
2019-12-04,2.2236
2019-12-05,2.23
2019-12-06,2.2293
2019-12-09,2.2433
2019-12-10,2.241
2019-12-11,2.2551
2019-12-12,2.2568
2019-12-13,2.2823
2019-12-16,2.2906
2019-12-17,2.3036
2019-12-18,2.2987
2019-12-19,2.3019
2019-12-20,2.2928
2019-12-23,2.2698
2019-12-24,2.278
2019-12-25,2.2766
2019-12-26,2.2995
2019-12-27,2.2973
2019-12-30,2.3174
2019-12-31,2.3264
2020-01-02,2.347
2020-01-03,2.3453
2020-01-06,2.3425
2020-01-07,2.3553
2020-01-08,2.3397
2020-01-09,2.3578
2020-01-10,2.349
2020-01-13,2.3593
2020-01-14,2.3597
2020-01-15,2.3498
2020-01-16,2.3438
2020-01-17,2.3445
2020-01-20,2.3452
2020-01-21,2.3101
2020-01-22,2.3126
2020-01-23,2.264
2020-02-03,2.1144
2020-02-04,2.1427
2020-02-05,2.1607
2020-02-06,2.1733
2020-02-07,2.1715
2020-02-10,2.1968
2020-02-11,2.2038
2020-02-12,2.2096
2020-02-13,2.1991
2020-02-14,2.2102
2020-02-17,2.2425
2020-02-18,2.2395
2020-02-19,2.2394
2020-02-20,2.2648
2020-02-21,2.2751
2020-02-24,2.2625
2020-02-25,2.2414
2020-02-26,2.2467
2020-02-27,2.2452
2020-02-28,2.1938
2020-03-02,2.2509
2020-03-03,2.2531
2020-03-04,2.2699
2020-03-05,2.2857
2020-03-06,2.2652
2020-03-09,2.2209
2020-03-10,2.2471
2020-03-11,2.2332
2020-03-12,2.2099
2020-03-13,2.1795
2020-03-16,2.1378
2020-03-17,2.1289
2020-03-18,2.1032
2020-03-19,2.0794
2020-03-20,2.0955
2020-03-23,2.0441
2020-03-24,2.079
2020-03-25,2.117
2020-03-26,2.101
2020-03-27,2.1106
2020-03-30,2.0952
2020-03-31,2.093
2020-04-01,2.0818
2020-04-02,2.1038
2020-04-03,2.0951
2020-04-07,2.119
2020-04-08,2.1166
2020-04-09,2.1208
2020-04-10,2.1048
2020-04-13,2.1008
2020-04-14,2.1166
2020-04-15,2.1076
2020-04-16,2.1046
2020-04-17,2.1106
2020-04-20,2.1122
2020-04-21,2.0987
2020-04-22,2.1017
2020-04-23,2.0953
2020-04-24,2.0834
2020-04-27,2.09
2020-04-28,2.0806
2020-04-29,2.1042
2020-04-30,2.1283
2020-05-06,2.1257
2020-05-07,2.1296
2020-05-08,2.1384
2020-05-11,2.1375
2020-05-12,2.1281
2020-05-13,2.1318
2020-05-14,2.1149
2020-05-15,2.1103
2020-05-18,2.1096
2020-05-19,2.1177
2020-05-20,2.1076
2020-05-21,2.0999
2020-05-22,2.0731
2020-05-25,2.0793
2020-05-26,2.0854
2020-05-27,2.0957
2020-05-28,2.0973
2020-05-29,2.0859
2020-06-01,2.1156
2020-06-02,2.1243
2020-06-03,2.1283
2020-06-04,2.1332
2020-06-05,2.1221
2020-06-08,2.1321
2020-06-09,2.1357
2020-06-10,2.127
2020-06-11,2.1142
2020-06-12,2.1144
2020-06-15,2.0997
2020-06-16,2.1241
2020-06-17,2.1289
2020-06-18,2.1437
2020-06-19,2.1397
2020-06-22,2.1304
2020-06-23,2.1224
2020-06-24,2.1254
2020-06-29,2.1159
2020-06-30,2.1287
2020-07-01,2.1553
2020-07-02,2.1918
2020-07-03,2.2144
2020-07-06,2.3149
2020-07-07,2.3047
2020-07-08,2.326
2020-07-09,2.3426
2020-07-10,2.294
2020-07-13,2.3363
2020-07-14,2.3257
2020-07-15,2.2939
2020-07-16,2.2532
2020-07-17,2.2512
2020-07-20,2.3212
2020-07-21,2.3148
2020-07-22,2.3163
2020-07-23,2.2942
2020-07-24,2.2366
2020-07-27,2.2332
2020-07-28,2.2459
2020-07-29,2.2707
2020-07-30,2.2682
2020-07-31,2.284
2020-08-03,2.3231
2020-08-04,2.3206
2020-08-05,2.3125
2020-08-06,2.3221
2020-08-07,2.3163
2020-08-10,2.3376
2020-08-11,2.3228
2020-08-12,2.3178
2020-08-13,2.3317
2020-08-14,2.342
2020-08-17,2.3829
2020-08-18,2.385
2020-08-19,2.3743
2020-08-20,2.3632
2020-08-21,2.3632
2020-08-24,2.3653
2020-08-25,2.3585
2020-08-26,2.3283
2020-08-27,2.334
2020-08-28,2.359
2020-08-31,2.3472
2020-09-01,2.3484
2020-09-02,2.3479
2020-09-03,2.3401
2020-09-04,2.3281
2020-09-07,2.3195
2020-09-08,2.3307
2020-09-09,2.3152
2020-09-10,2.3025
2020-09-11,2.3009
2020-09-14,2.3059
2020-09-15,2.3101
2020-09-16,2.3135
2020-09-17,2.3153
2020-09-18,2.3405
2020-09-21,2.3314
2020-09-22,2.3055
2020-09-23,2.308
2020-09-24,2.2808
2020-09-25,2.2742
2020-09-28,2.2792
2020-09-29,2.2787
2020-09-30,2.2724
2020-10-09,2.2983
2020-10-12,2.3302
2020-10-13,2.3249
2020-10-14,2.3198
2020-10-15,2.3108
2020-10-16,2.315
2020-10-19,2.3067
2020-10-20,2.3044
2020-10-21,2.3039
2020-10-22,2.2947
2020-10-23,2.2884
2020-10-26,2.2793
2020-10-27,2.2747
2020-10-28,2.2777
2020-10-29,2.291
2020-10-30,2.2783
2020-11-02,2.2886
2020-11-03,2.3038
2020-11-04,2.3195
2020-11-05,2.3498
2020-11-06,2.3648
2020-11-09,2.3987
2020-11-10,2.3883
2020-11-11,2.3964
2020-11-12,2.4099
2020-11-13,2.3949
2020-11-16,2.4313
2020-11-17,2.4392
2020-11-18,2.4486
