date,close
2015-02-25,108.229
2015-02-26,108.24
2015-02-27,108.274
2015-03-02,108.286
2015-03-03,108.297
2015-03-04,108.313
2015-03-05,108.324
2015-03-06,108.359
2015-03-09,108.384
2015-03-10,108.397
2015-03-11,108.409
2015-03-12,108.421
2015-03-13,108.456
2015-03-16,108.468
2015-03-17,108.479
2015-03-18,108.49
2015-03-19,108.501
2015-03-20,108.535
2015-03-23,108.546
2015-03-24,108.557
2015-03-25,108.569
2015-03-26,108.58
2015-03-27,108.612
2015-03-30,108.623
2015-03-31,108.634
2015-04-01,108.645
2015-04-02,108.656
2015-04-03,108.698
2015-04-07,108.708
2015-04-08,108.718
2015-04-09,108.728
2015-04-10,108.757
2015-04-13,108.767
2015-04-14,108.776
2015-04-15,108.808
2015-04-16,108.822
2015-04-17,108.863
2015-04-20,108.874
2015-04-21,108.885
2015-04-22,108.894
2015-04-23,108.904
2015-04-24,108.929
2015-04-27,108.938
2015-04-28,108.946
2015-04-29,108.954
2015-04-30,108.987
2015-05-04,108.995
2015-05-05,109.004
2015-05-06,109.013
2015-05-07,109.022
2015-05-08,109.052
2015-05-11,109.061
2015-05-12,109.07
2015-05-13,109.08
2015-05-14,109.092
2015-05-15,109.116
2015-05-18,109.125
2015-05-19,109.141
2015-05-20,109.15
2015-05-21,109.158
2015-05-22,109.184
2015-05-25,109.205
2015-05-26,109.213
2015-05-27,109.227
2015-05-28,109.243
2015-05-29,109.273
2015-06-01,109.288
2015-06-02,109.297
2015-06-03,109.305
2015-06-04,109.312
2015-06-05,109.329
2015-06-08,109.335
2015-06-09,109.341
2015-06-10,109.346
2015-06-11,109.355
2015-06-12,109.385
2015-06-15,109.392
2015-06-16,109.399
2015-06-17,109.407
2015-06-18,109.42
2015-06-19,109.453
2015-06-23,109.461
2015-06-24,109.478
2015-06-25,109.486
2015-06-26,109.515
2015-06-29,109.523
2015-06-30,109.531
2015-07-01,109.54
2015-07-02,109.548
2015-07-03,109.574
2015-07-06,109.598
2015-07-07,109.607
2015-07-08,109.615
2015-07-09,109.623
2015-07-10,109.645
2015-07-13,109.653
2015-07-14,109.66
2015-07-15,109.669
2015-07-16,109.68
2015-07-17,109.703
2015-07-20,109.711
2015-07-21,109.718
2015-07-22,109.726
2015-07-23,109.734
2015-07-24,109.756
2015-07-27,109.764
2015-07-28,109.771
2015-07-29,109.778
2015-07-30,109.785
2015-07-31,109.806
2015-08-03,109.813
2015-08-04,109.82
2015-08-05,109.828
2015-08-06,109.834
2015-08-07,109.853
2015-08-10,109.859
2015-08-11,109.866
2015-08-12,109.873
2015-08-13,109.879
2015-08-14,109.898
2015-08-17,109.903
2015-08-18,109.908
2015-08-19,109.914
2015-08-20,109.919
2015-08-21,109.935
2015-08-24,109.942
2015-08-25,109.949
2015-08-26,109.956
2015-08-27,109.963
2015-08-28,109.98
2015-08-31,109.99
2015-09-01,109.996
2015-09-02,110.029
2015-09-07,110.037
2015-09-08,110.044
2015-09-09,110.054
2015-09-10,110.06
2015-09-11,110.079
2015-09-14,110.086
2015-09-15,110.092
2015-09-16,110.098
2015-09-17,110.104
2015-09-18,110.123
2015-09-21,110.131
2015-09-22,110.137
2015-09-23,110.143
2015-09-24,110.15
2015-09-25,110.169
2015-09-28,110.175
2015-09-29,110.182
2015-09-30,110.232
2015-10-08,110.243
2015-10-09,110.263
2015-10-12,110.271
2015-10-13,110.286
2015-10-14,110.296
2015-10-15,110.302
2015-10-16,110.322
2015-10-19,110.329
2015-10-20,110.336
2015-10-21,110.343
2015-10-22,110.349
2015-10-23,110.369
2015-10-26,110.375
2015-10-27,110.382
2015-10-28,110.39
2015-10-29,110.411
2015-10-30,110.432
2015-11-02,110.44
2015-11-03,110.448
2015-11-04,110.455
2015-11-05,110.462
2015-11-06,110.484
2015-11-09,110.497
2015-11-10,110.508
2015-11-11,110.516
2015-11-12,110.524
2015-11-13,110.545
2015-11-16,110.552
2015-11-17,110.559
2015-11-18,110.566
2015-11-19,110.573
2015-11-20,110.593
2015-11-23,110.601
2015-11-24,110.608
2015-11-25,110.615
2015-11-26,110.621
2015-11-27,110.642
2015-11-30,110.649
2015-12-01,110.655
2015-12-02,110.665
2015-12-03,110.672
2015-12-04,110.694
2015-12-07,110.703
